"","terms","value","component","id"
"1","bowler_Dots",0.300544434600084,"PC1","pca_ik2fF"
"2","bowler_Singles",0.29787103033532,"PC1","pca_ik2fF"
"3","bowler_Twos",0.291716072578452,"PC1","pca_ik2fF"
"4","bowler_Threes",0.202897327302989,"PC1","pca_ik2fF"
"5","bowler_Fours",0.286968741536799,"PC1","pca_ik2fF"
"6","bowler_Sixes",0.26031278694348,"PC1","pca_ik2fF"
"7","Bowler_wickets",0.293167161737395,"PC1","pca_ik2fF"
"8","Bowler_Matches",0.300903357163152,"PC1","pca_ik2fF"
"9","Total_wides",0.249039519365171,"PC1","pca_ik2fF"
"10","Total_noballs",0.0955551433327022,"PC1","pca_ik2fF"
"11","Total_overs",0.306801795640106,"PC1","pca_ik2fF"
"12","Total_runs_conceded",0.304556895430174,"PC1","pca_ik2fF"
"13","Bowler_min_econ_rate",-0.164312466168398,"PC1","pca_ik2fF"
"14","Bowler_wining_balls",0.288174218882464,"PC1","pca_ik2fF"
"15","bowler_Dots",-0.0427292689082717,"PC2","pca_ik2fF"
"16","bowler_Singles",-0.0976625930766454,"PC2","pca_ik2fF"
"17","bowler_Twos",0.00191663136618479,"PC2","pca_ik2fF"
"18","bowler_Threes",0.0481212592353822,"PC2","pca_ik2fF"
"19","bowler_Fours",0.138900034556389,"PC2","pca_ik2fF"
"20","bowler_Sixes",-0.00641557933213113,"PC2","pca_ik2fF"
"21","Bowler_wickets",-0.0396033207968955,"PC2","pca_ik2fF"
"22","Bowler_Matches",-0.097882661850844,"PC2","pca_ik2fF"
"23","Total_wides",0.238243865501051,"PC2","pca_ik2fF"
"24","Total_noballs",0.833888470542563,"PC2","pca_ik2fF"
"25","Total_overs",-0.0495845755830063,"PC2","pca_ik2fF"
"26","Total_runs_conceded",0.0162608485977971,"PC2","pca_ik2fF"
"27","Bowler_min_econ_rate",0.441968266199459,"PC2","pca_ik2fF"
"28","Bowler_wining_balls",-0.0751263352354867,"PC2","pca_ik2fF"
"29","bowler_Dots",0.026654475210969,"PC3","pca_ik2fF"
"30","bowler_Singles",-0.0894915639680066,"PC3","pca_ik2fF"
"31","bowler_Twos",-0.0330546356953044,"PC3","pca_ik2fF"
"32","bowler_Threes",0.477658075326114,"PC3","pca_ik2fF"
"33","bowler_Fours",-0.0598539645193581,"PC3","pca_ik2fF"
"34","bowler_Sixes",-0.375091700781867,"PC3","pca_ik2fF"
"35","Bowler_wickets",-0.0260882145448108,"PC3","pca_ik2fF"
"36","Bowler_Matches",-0.033142861731704,"PC3","pca_ik2fF"
"37","Total_wides",-0.0564779139423552,"PC3","pca_ik2fF"
"38","Total_noballs",0.342459057751036,"PC3","pca_ik2fF"
"39","Total_overs",-0.0512480673601372,"PC3","pca_ik2fF"
"40","Total_runs_conceded",-0.140361642331359,"PC3","pca_ik2fF"
"41","Bowler_min_econ_rate",-0.687126653531711,"PC3","pca_ik2fF"
"42","Bowler_wining_balls",-0.0322005239052019,"PC3","pca_ik2fF"
"43","bowler_Dots",-0.00298121923658089,"PC4","pca_ik2fF"
"44","bowler_Singles",-0.0435797706594725,"PC4","pca_ik2fF"
"45","bowler_Twos",0.102688429981982,"PC4","pca_ik2fF"
"46","bowler_Threes",0.734038287890687,"PC4","pca_ik2fF"
"47","bowler_Fours",0.066356278978394,"PC4","pca_ik2fF"
"48","bowler_Sixes",-0.255500421972221,"PC4","pca_ik2fF"
"49","Bowler_wickets",-0.10915934491717,"PC4","pca_ik2fF"
"50","Bowler_Matches",-0.0401909435312459,"PC4","pca_ik2fF"
"51","Total_wides",0.155835401664872,"PC4","pca_ik2fF"
"52","Total_noballs",-0.359971308855486,"PC4","pca_ik2fF"
"53","Total_overs",0.0241386272865513,"PC4","pca_ik2fF"
"54","Total_runs_conceded",0.00253666915278091,"PC4","pca_ik2fF"
"55","Bowler_min_econ_rate",0.45788812210077,"PC4","pca_ik2fF"
"56","Bowler_wining_balls",-0.0374892288148667,"PC4","pca_ik2fF"
"57","bowler_Dots",0.0745227714260707,"PC5","pca_ik2fF"
"58","bowler_Singles",0.155900781038637,"PC5","pca_ik2fF"
"59","bowler_Twos",0.13332633810462,"PC5","pca_ik2fF"
"60","bowler_Threes",0.19469881417023,"PC5","pca_ik2fF"
"61","bowler_Fours",-0.237134578667958,"PC5","pca_ik2fF"
"62","bowler_Sixes",0.0804397847103801,"PC5","pca_ik2fF"
"63","Bowler_wickets",0.129726622154762,"PC5","pca_ik2fF"
"64","Bowler_Matches",0.0902034475238769,"PC5","pca_ik2fF"
"65","Total_wides",-0.818388826674832,"PC5","pca_ik2fF"
"66","Total_noballs",0.196679124905148,"PC5","pca_ik2fF"
"67","Total_overs",0.0290455389678811,"PC5","pca_ik2fF"
"68","Total_runs_conceded",-0.0564459479280202,"PC5","pca_ik2fF"
"69","Bowler_min_econ_rate",0.242605693441659,"PC5","pca_ik2fF"
"70","Bowler_wining_balls",0.235496233244359,"PC5","pca_ik2fF"
"71","bowler_Dots",-0.276780295590372,"PC6","pca_ik2fF"
"72","bowler_Singles",0.0541664285625354,"PC6","pca_ik2fF"
"73","bowler_Twos",-0.152123556154437,"PC6","pca_ik2fF"
"74","bowler_Threes",0.335096795277689,"PC6","pca_ik2fF"
"75","bowler_Fours",-0.301335368305272,"PC6","pca_ik2fF"
"76","bowler_Sixes",0.719228020767698,"PC6","pca_ik2fF"
"77","Bowler_wickets",-0.347814646960281,"PC6","pca_ik2fF"
"78","Bowler_Matches",0.00715484542081803,"PC6","pca_ik2fF"
"79","Total_wides",0.074168389530339,"PC6","pca_ik2fF"
"80","Total_noballs",0.0477200564103434,"PC6","pca_ik2fF"
"81","Total_overs",-0.0360659824682606,"PC6","pca_ik2fF"
"82","Total_runs_conceded",0.131900370055285,"PC6","pca_ik2fF"
"83","Bowler_min_econ_rate",-0.132495570498395,"PC6","pca_ik2fF"
"84","Bowler_wining_balls",-0.108983320934425,"PC6","pca_ik2fF"
"85","bowler_Dots",0.240966816396993,"PC7","pca_ik2fF"
"86","bowler_Singles",-0.369312761493391,"PC7","pca_ik2fF"
"87","bowler_Twos",-0.563020520473741,"PC7","pca_ik2fF"
"88","bowler_Threes",0.140281261524453,"PC7","pca_ik2fF"
"89","bowler_Fours",0.291855301179151,"PC7","pca_ik2fF"
"90","bowler_Sixes",0.256014617252729,"PC7","pca_ik2fF"
"91","Bowler_wickets",0.209579510200825,"PC7","pca_ik2fF"
"92","Bowler_Matches",-0.179033461497294,"PC7","pca_ik2fF"
"93","Total_wides",-0.033646960185468,"PC7","pca_ik2fF"
"94","Total_noballs",-0.0596884157721671,"PC7","pca_ik2fF"
"95","Total_overs",-0.161128956644912,"PC7","pca_ik2fF"
"96","Total_runs_conceded",-0.146639931630551,"PC7","pca_ik2fF"
"97","Bowler_min_econ_rate",0.0121190894995309,"PC7","pca_ik2fF"
"98","Bowler_wining_balls",0.435735101665625,"PC7","pca_ik2fF"
"99","bowler_Dots",-0.120052655671282,"PC8","pca_ik2fF"
"100","bowler_Singles",0.250710748838154,"PC8","pca_ik2fF"
"101","bowler_Twos",-0.128729894384249,"PC8","pca_ik2fF"
"102","bowler_Threes",-0.0616178076821228,"PC8","pca_ik2fF"
"103","bowler_Fours",-0.553693612320353,"PC8","pca_ik2fF"
"104","bowler_Sixes",-0.205803479843646,"PC8","pca_ik2fF"
"105","Bowler_wickets",-0.00929898378600034,"PC8","pca_ik2fF"
"106","Bowler_Matches",0.043939239972856,"PC8","pca_ik2fF"
"107","Total_wides",0.365116869401933,"PC8","pca_ik2fF"
"108","Total_noballs",0.0367811104278204,"PC8","pca_ik2fF"
"109","Total_overs",-0.0116661145506213,"PC8","pca_ik2fF"
"110","Total_runs_conceded",-0.147477400637247,"PC8","pca_ik2fF"
"111","Bowler_min_econ_rate",0.0749379197079027,"PC8","pca_ik2fF"
"112","Bowler_wining_balls",0.62389900757963,"PC8","pca_ik2fF"
"113","bowler_Dots",0.0997303422044062,"PC9","pca_ik2fF"
"114","bowler_Singles",-0.13539277225172,"PC9","pca_ik2fF"
"115","bowler_Twos",0.262742032477136,"PC9","pca_ik2fF"
"116","bowler_Threes",0.0829711667794895,"PC9","pca_ik2fF"
"117","bowler_Fours",-0.385887290247166,"PC9","pca_ik2fF"
"118","bowler_Sixes",0.208769604385532,"PC9","pca_ik2fF"
"119","Bowler_wickets",0.680520447355198,"PC9","pca_ik2fF"
"120","Bowler_Matches",-0.231900962989045,"PC9","pca_ik2fF"
"121","Total_wides",0.185042796607829,"PC9","pca_ik2fF"
"122","Total_noballs",-0.0337523455034342,"PC9","pca_ik2fF"
"123","Total_overs",-0.178687872303227,"PC9","pca_ik2fF"
"124","Total_runs_conceded",-0.212246655101248,"PC9","pca_ik2fF"
"125","Bowler_min_econ_rate",0.0089372423757936,"PC9","pca_ik2fF"
"126","Bowler_wining_balls",-0.272005976976292,"PC9","pca_ik2fF"
"127","bowler_Dots",0.183849817528471,"PC10","pca_ik2fF"
"128","bowler_Singles",0.345443808210699,"PC10","pca_ik2fF"
"129","bowler_Twos",-0.65359157041265,"PC10","pca_ik2fF"
"130","bowler_Threes",0.059403763724499,"PC10","pca_ik2fF"
"131","bowler_Fours",-0.133497778280722,"PC10","pca_ik2fF"
"132","bowler_Sixes",-0.108150142800223,"PC10","pca_ik2fF"
"133","Bowler_wickets",0.228554195294512,"PC10","pca_ik2fF"
"134","Bowler_Matches",0.324390726604684,"PC10","pca_ik2fF"
"135","Total_wides",0.0132733407553393,"PC10","pca_ik2fF"
"136","Total_noballs",0.0325069801534236,"PC10","pca_ik2fF"
"137","Total_overs",0.188393595345425,"PC10","pca_ik2fF"
"138","Total_runs_conceded",-0.00674084040601351,"PC10","pca_ik2fF"
"139","Bowler_min_econ_rate",0.103629101630624,"PC10","pca_ik2fF"
"140","Bowler_wining_balls",-0.426219586929397,"PC10","pca_ik2fF"
"141","bowler_Dots",0.531134779421013,"PC11","pca_ik2fF"
"142","bowler_Singles",0.0503866752971338,"PC11","pca_ik2fF"
"143","bowler_Twos",-0.0306490925309241,"PC11","pca_ik2fF"
"144","bowler_Threes",-0.045683565629202,"PC11","pca_ik2fF"
"145","bowler_Fours",-0.230928227817183,"PC11","pca_ik2fF"
"146","bowler_Sixes",-0.0113700002990009,"PC11","pca_ik2fF"
"147","Bowler_wickets",-0.239283818704723,"PC11","pca_ik2fF"
"148","Bowler_Matches",-0.627685845467577,"PC11","pca_ik2fF"
"149","Total_wides",-0.00824336095639443,"PC11","pca_ik2fF"
"150","Total_noballs",0.0138490734873704,"PC11","pca_ik2fF"
"151","Total_overs",0.41527045756284,"PC11","pca_ik2fF"
"152","Total_runs_conceded",0.182073269230671,"PC11","pca_ik2fF"
"153","Bowler_min_econ_rate",-0.00922162055827304,"PC11","pca_ik2fF"
"154","Bowler_wining_balls",-0.041015457837854,"PC11","pca_ik2fF"
"155","bowler_Dots",0.573670870478756,"PC12","pca_ik2fF"
"156","bowler_Singles",-0.31815091144162,"PC12","pca_ik2fF"
"157","bowler_Twos",0.158696886582996,"PC12","pca_ik2fF"
"158","bowler_Threes",-0.0541751164009242,"PC12","pca_ik2fF"
"159","bowler_Fours",-0.196137330353164,"PC12","pca_ik2fF"
"160","bowler_Sixes",0.0928037782593974,"PC12","pca_ik2fF"
"161","Bowler_wickets",-0.34571560613028,"PC12","pca_ik2fF"
"162","Bowler_Matches",0.4983124538478,"PC12","pca_ik2fF"
"163","Total_wides",0.0907774457151432,"PC12","pca_ik2fF"
"164","Total_noballs",0.0135570846675929,"PC12","pca_ik2fF"
"165","Total_overs",-0.105068436112315,"PC12","pca_ik2fF"
"166","Total_runs_conceded",-0.318984875088679,"PC12","pca_ik2fF"
"167","Bowler_min_econ_rate",0.0487900863965132,"PC12","pca_ik2fF"
"168","Bowler_wining_balls",-0.0552229185885552,"PC12","pca_ik2fF"
"169","bowler_Dots",-0.1759183167787,"PC13","pca_ik2fF"
"170","bowler_Singles",-0.644777574701578,"PC13","pca_ik2fF"
"171","bowler_Twos",-0.0680051775691829,"PC13","pca_ik2fF"
"172","bowler_Threes",-0.0209649822984787,"PC13","pca_ik2fF"
"173","bowler_Fours",-0.278859702796474,"PC13","pca_ik2fF"
"174","bowler_Sixes",-0.122215748547191,"PC13","pca_ik2fF"
"175","Bowler_wickets",0.160621853058952,"PC13","pca_ik2fF"
"176","Bowler_Matches",0.231606578305074,"PC13","pca_ik2fF"
"177","Total_wides",-0.0333252784944266,"PC13","pca_ik2fF"
"178","Total_noballs",0.0128091117691085,"PC13","pca_ik2fF"
"179","Total_overs",0.371750371086466,"PC13","pca_ik2fF"
"180","Total_runs_conceded",0.483942452833455,"PC13","pca_ik2fF"
"181","Bowler_min_econ_rate",0.0200119245594236,"PC13","pca_ik2fF"
"182","Bowler_wining_balls",0.0451244920275309,"PC13","pca_ik2fF"
"183","bowler_Dots",0.258055631947947,"PC14","pca_ik2fF"
"184","bowler_Singles",0.0904461835900896,"PC14","pca_ik2fF"
"185","bowler_Twos",-0.0426082923070408,"PC14","pca_ik2fF"
"186","bowler_Threes",0.000115828487837415,"PC14","pca_ik2fF"
"187","bowler_Fours",-0.123640741769292,"PC14","pca_ik2fF"
"188","bowler_Sixes",-0.124916267258028,"PC14","pca_ik2fF"
"189","Bowler_wickets",-0.0123960500678653,"PC14","pca_ik2fF"
"190","Bowler_Matches",0.00608872000075437,"PC14","pca_ik2fF"
"191","Total_wides",-0.0143175870320126,"PC14","pca_ik2fF"
"192","Total_noballs",-0.00553674217407781,"PC14","pca_ik2fF"
"193","Total_overs",-0.694876379601016,"PC14","pca_ik2fF"
"194","Total_runs_conceded",0.639718489591889,"PC14","pca_ik2fF"
"195","Bowler_min_econ_rate",-0.000937550143161406,"PC14","pca_ik2fF"
"196","Bowler_wining_balls",2.48830140648142e-05,"PC14","pca_ik2fF"
